INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (1, NULL, 9, NULL, 202.80, 4);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (1, NULL, 2, NULL, 467.40, 2);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (1, NULL, 13, NULL, 355.29, 3);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (2, 107, NULL, NULL, 3357.47, 1);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (3, NULL, 16, 11, 634.27, 3);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (3, 11, NULL, 7, 463.41, 3);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (4, NULL, 11, NULL, 2957.87, 1);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (5, NULL, 3, NULL, 457.79, 2);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (5, 147, NULL, NULL, 446.21, 2);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (5, NULL, 5, NULL, 1392.64, 1);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (6, 70, NULL, 13, 544.66, 3);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (6, NULL, 13, 17, 684.59, 2);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (6, NULL, 3, NULL, 349.01, 4);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (7, 127, NULL, NULL, 376.18, 3);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (7, NULL, 14, NULL, 467.72, 3);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (8, 168, NULL, NULL, 244.47, 4);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (8, 64, NULL, NULL, 375.69, 3);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (9, 66, NULL, NULL, 673.79, 2);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (9, 123, NULL, NULL, 749.71, 2);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (9, 148, NULL, NULL, 279.01, 4);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (10, 165, NULL, 19, 1938.90, 1);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (11, 97, NULL, NULL, 775.00, 1);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (11, NULL, 12, 7, 667.59, 1);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (11, NULL, 6, NULL, 975.27, 1);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (12, 157, NULL, 18, 4864.41, 1);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (13, 98, NULL, 17, 1953.87, 2);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (14, NULL, 7, 9, 444.70, 3);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (14, NULL, 1, NULL, 333.92, 4);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (14, 95, NULL, 18, 529.18, 2);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (15, NULL, 2, NULL, 267.02, 4);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (15, 15, NULL, NULL, 1011.72, 1);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (15, NULL, 8, 10, 712.90, 1);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (16, NULL, 4, NULL, 411.03, 4);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (16, 73, NULL, 5, 607.15, 2);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (17, 108, NULL, 1, 462.08, 3);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (17, 80, NULL, 17, 311.91, 4);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (17, 80, NULL, NULL, 1462.14, 1);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (18, 124, NULL, 2, 688.67, 1);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (18, 37, NULL, 7, 531.26, 1);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (19, 7, NULL, 10, 489.05, 4);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (20, 37, NULL, NULL, 490.14, 3);
INSERT INTO Detalle_Facturas (id_factura, id_entrada, id_producto, id_promocion, precio_unitario, cantidad) VALUES (20, 46, NULL, NULL, 580.90, 3);
